-33.75,-28.125,-22.5,-22.5
-28.125,-25.3125,-22.5,-22.5
-25.3125,-25.3125,-22.5,-23.9062
-28.125,-28.125,-22.5,-25.3125
-28.125,-28.125,-25.3125,-26.7188
-45,-33.75,-33.75,-28.125
-39.375,-33.75,-33.75,-30.9375
-36.5625,-33.75,-33.75,-32.3438
-33.75,-33.75,-22.5,-28.125
-33.75,-30.9375,-28.125,-28.125
-30.9375,-29.5312,-28.125,-28.125
-33.75,-30.9375,-30.9375,-29.5312
-33.75,-33.75,-28.125,-30.9375
-33.75,-32.3438,-30.9375,-30.9375
-22.5,-33.75,0,-22.5
-22.5,-28.125,-11.25,-22.5
-22.5,-25.3125,-16.875,-22.5
-22.5,-23.9062,-19.6875,-22.5
-45,-45,-22.5,-33.75
-45,-39.375,-33.75,-33.75
-45,-36.5625,-39.375,-33.75
-42.1875,-36.5625,-39.375,-35.1562
-39.375,-36.5625,-33.75,-33.75
-39.375,-35.1562,-36.5625,-33.75
-45,-39.375,-39.375,-36.5625
-45,-39.375,-42.1875,-37.9688
-22.5,-45,0,-33.75
-180,-90,-90,-45
-180,-67.5,-135,-45
-180,-56.25,-157.5,-45
-157.5,-56.25,-135,-45
-180,-67.5,-157.5,-56.25
-157.5,-67.5,-135,-56.25
-135,-67.5,-90,-45
-135,-56.25,-112.5,-45
-112.5,-56.25,-90,-45
-135,-67.5,-112.5,-56.25
-112.5,-67.5,-90,-56.25
-101.25,-61.875,-90,-56.25
-95.625,-61.875,-90,-59.0625
-92.8125,-61.875,-90,-60.4688
-112.5,-67.5,-101.25,-61.875
-112.5,-67.5,-106.875,-64.6875
-106.875,-67.5,-101.25,-64.6875
-104.062,-66.0938,-101.25,-64.6875
-101.25,-67.5,-90,-61.875
-101.25,-64.6875,-95.625,-61.875
-101.25,-64.6875,-98.4375,-63.2812
-180,-90,-135,-67.5
-180,-78.75,-157.5,-67.5
-157.5,-78.75,-135,-67.5
-146.25,-78.75,-135,-73.125
-146.25,-78.75,-140.625,-75.9375
-140.625,-78.75,-135,-75.9375
-180,-90,-157.5,-78.75
-168.75,-84.375,-157.5,-78.75
-163.125,-84.375,-157.5,-81.5625
-180,-90,-168.75,-84.375
-174.375,-87.1875,-168.75,-84.375
-168.75,-90,-157.5,-84.375
-157.5,-90,-135,-78.75
-157.5,-84.375,-146.25,-78.75
-157.5,-81.5625,-151.875,-78.75
-151.875,-81.5625,-146.25,-78.75
-135,-90,-90,-67.5
-135,-78.75,-112.5,-67.5
-135,-73.125,-123.75,-67.5
-129.375,-73.125,-123.75,-70.3125
-123.75,-73.125,-112.5,-67.5
-118.125,-70.3125,-112.5,-67.5
-123.75,-73.125,-118.125,-70.3125
-120.938,-71.7188,-118.125,-70.3125
-135,-78.75,-123.75,-73.125
-135,-75.9375,-129.375,-73.125
-129.375,-75.9375,-123.75,-73.125
-112.5,-78.75,-90,-67.5
-112.5,-73.125,-101.25,-67.5
-112.5,-70.3125,-106.875,-67.5
-112.5,-68.9062,-109.688,-67.5
-135,-90,-112.5,-78.75
-112.5,-90,-90,-78.75
-90,-90,0,-45
-90,-67.5,-45,-45
-90,-56.25,-67.5,-45
-90,-56.25,-78.75,-50.625
-78.75,-56.25,-67.5,-50.625
-73.125,-53.4375,-67.5,-50.625
-70.3125,-52.0312,-67.5,-50.625
-73.125,-53.4375,-70.3125,-52.0312
-78.75,-56.25,-73.125,-53.4375
-75.9375,-54.8438,-73.125,-53.4375
-78.75,-56.25,-75.9375,-54.8438
-67.5,-56.25,-45,-45
-67.5,-50.625,-56.25,-45
-61.875,-47.8125,-56.25,-45
-59.0625,-46.4062,-56.25,-45
-61.875,-47.8125,-59.0625,-46.4062
-67.5,-50.625,-61.875,-47.8125
-64.6875,-49.2188,-61.875,-47.8125
-67.5,-50.625,-64.6875,-49.2188
-90,-67.5,-67.5,-56.25
-90,-61.875,-78.75,-56.25
-90,-59.0625,-84.375,-56.25
-87.1875,-59.0625,-84.375,-57.6562
-84.375,-59.0625,-78.75,-56.25
-90,-61.875,-84.375,-59.0625
-90,-60.4688,-87.1875,-59.0625
-67.5,-67.5,-45,-56.25
-45,-67.5,0,-45
-45,-56.25,-22.5,-45
-22.5,-56.25,0,-45
-45,-67.5,-22.5,-56.25
-22.5,-67.5,0,-56.25
-90,-90,-45,-67.5
-90,-78.75,-67.5,-67.5
-67.5,-78.75,-45,-67.5
-90,-90,-67.5,-78.75
-67.5,-90,-45,-78.75
-45,-90,0,-67.5
-45,-78.75,-22.5,-67.5
-22.5,-78.75,0,-67.5
-45,-90,-22.5,-78.75
-22.5,-90,0,-78.75
0,-90,180,0
0,-45,90,0
0,-22.5,45,0
0,-11.25,22.5,0
0,-5.625,11.25,0
0,-2.8125,5.625,0
2.8125,-1.40625,5.625,0
2.8125,-2.8125,5.625,-1.40625
0,-5.625,5.625,-2.8125
0,-4.21875,2.8125,-2.8125
22.5,-11.25,45,0
0,-22.5,22.5,-11.25
22.5,-22.5,45,-11.25
45,-22.5,90,0
45,-11.25,67.5,0
67.5,-11.25,90,0
45,-22.5,67.5,-11.25
67.5,-22.5,90,-11.25
0,-45,45,-22.5
0,-33.75,22.5,-22.5
22.5,-33.75,45,-22.5
0,-45,22.5,-33.75
22.5,-45,45,-33.75
45,-45,90,-22.5
45,-33.75,67.5,-22.5
67.5,-33.75,90,-22.5
45,-45,67.5,-33.75
67.5,-45,90,-33.75
90,-45,180,0
90,-22.5,135,0
90,-11.25,112.5,0
112.5,-11.25,135,0
90,-22.5,112.5,-11.25
112.5,-22.5,135,-11.25
135,-22.5,180,0
135,-11.25,157.5,0
157.5,-11.25,180,0
135,-22.5,157.5,-11.25
157.5,-22.5,180,-11.25
90,-45,135,-22.5
90,-33.75,112.5,-22.5
112.5,-33.75,135,-22.5
90,-45,112.5,-33.75
112.5,-45,135,-33.75
135,-45,180,-22.5
135,-33.75,157.5,-22.5
157.5,-33.75,180,-22.5
135,-45,157.5,-33.75
157.5,-45,180,-33.75
0,-90,90,-45
0,-67.5,45,-45
0,-56.25,22.5,-45
22.5,-56.25,45,-45
